population,state,party
4903185.00 ,AL,Republican
731545.00 ,AK,Republican
7278717.00 ,AZ,Republican
3017804.00 ,AR,Republican
39512223.00 ,CA,Democrat
5758736.00 ,CO,Democrat
3565287.00 ,CT,Democrat
973764.00 ,DE,Democrat
21477737.00 ,FL,Republican
10617423.00 ,GA,Republican
1415872.00 ,HI,Democrat
1787065.00 ,ID,Republican
12671821.00 ,IL,Democrat
6732219.00 ,IN,Republican
3155070.00 ,IA,Republican
2913314.00 ,KS,Democrat
4467673.00 ,KY,Democrat
4648794.00 ,LA,Democrat
1344212.00 ,ME,Democrat
6045680.00 ,MD,Republican
6892503.00 ,MA,Republican
9986857.00 ,MI,Democrat
5639632.00 ,MN,Democrat
2976149.00 ,MS,Republican
6137428.00 ,MO,Republican
1068778.00 ,MT,Democrat
1934408.00 ,NE,Republican
3080156.00 ,NV,Democrat
1359711.00 ,NH,Republican
8882190.00 ,NJ,Democrat
2096829.00 ,NM,Democrat
19453561.00 ,NY,Democrat
10488084.00 ,NC,Democrat
762062.00 ,ND,Republican
11689100.00 ,OH,Republican
3956971.00 ,OK,Republican
4217737.00 ,OR,Democrat
12801989.00 ,PA,Democrat
1059361.00 ,RI,Democrat
5148714.00 ,SC,Republican
884659.00 ,SD,Republican
6829174.00 ,TN,Republican
28995881.00 ,TX,Republican
3205958.00 ,UT,Republican
623989.00 ,VT,Republican
8535519.00 ,VA,Democrat
7614893.00 ,WA,Democrat
1792147.00 ,WV,Republican
5822434.00 ,WI,Democrat
578759.00 ,WY,Republican
